,Lemme,Forme_originale,Categorie,Longueur,Frequence
6104,plein,plein,Adjectif,5,20
943,vision,vision,Nom,6,20
4433,meeting,meeting,Nom,7,20
4393,mobiliser,mobiliser,Verbe,9,20
7619,legislativ,legislative,Adjectif,10,20
364,accompagner,accompagnent,Verbe,11,20
200,sens,sens,Nom,4,19
556,femme,femmes,Nom,5,19
1917,modem,modem,Adjectif,5,19
5704,annee,annee,Nom,5,19
2730,quelqu,quelqu,Nom,6,19
631,engager,engager,Verbe,7,19
1693,document,documents,Nom,8,19
2781,capacite,capacite,Nom,8,19
5026,electeur,electeurs,Nom,8,19
2296,tien,tiens,Adjectif,4,18
4398,appel,appel,Nom,5,18
4468,aider,aider,Verbe,5,18
6305,epoqu,epoque,Adjectif,5,18
348,aspect,aspect,Nom,6,18
429,perdre,perd,Verbe,6,18
1098,region,region,Nom,6,18
1289,pareil,pareil,Adjectif,6,18
3374,propre,propre,Adjectif,6,18
3064,revenir,reviendra,Verbe,7,18
6588,cabinet,cabinet,Nom,7,18
955,regarder,regarde,Verbe,8,18
3907,majorite,majorite,Nom,8,18
6148,solution,solutions,Nom,8,18
785,thematique,thematiques,Adjectif,10,18
1088,competence,competences,Nom,10,18
3399,engagement,engagement,Nom,10,18
3885,conseiller,conseiller,Nom,10,18
893,legislative,legislatives,Adjectif,11,18
501,avis,avis,Nom,4,17
1981,soir,soir,Nom,4,17
1272,tenir,tient,Verbe,5,17
1441,coeur,coeur,Nom,5,17
2482,debat,debat,Adjectif,5,17
2923,super,super,Adverbe,5,17
5727,final,final,Adjectif,5,17
1396,retour,retours,Nom,6,17
1665,direct,direct,Adjectif,6,17
2192,acteur,acteurs,Nom,6,17
3466,accord,accord,Nom,6,17
10501,bureau,bureau,Nom,6,17
2110,personn,personne,Adjectif,7,17
3747,holland,hollande,Adjectif,7,17
3791,francoi,francois,Nom,7,17
439,entendre,entend,Verbe,8,17
1204,histoire,histoire,Nom,8,17
611,technique,techniques,Adjectif,9,17
1116,connaitre,connaitre,Verbe,9,17
5333,tellement,tellement,Adverbe,9,17
8314,centriste,centriste,Nom,9,17
2868,proposition,propositions,Nom,11,17
3138,departemental,departementale,Adjectif,13,17
5469,mail,mail,Nom,4,16
11715,data,data,Nom,4,16
5324,image,image,Nom,5,16
5418,matin,matin,Nom,5,16
93,coller,coller,Verbe,6,16
2029,macron,macron,Adverbe,6,16
330,interne,interne,Adjectif,7,16
1983,endroit,endroit,Nom,7,16
2694,devenir,devenu,Verbe,7,16
2737,present,present,Adverbe,7,16
3014,parfois,parfois,Adverbe,7,16
4145,conseil,conseil,Nom,7,16
7979,logique,logiques,Adjectif,7,16
14742,contenu,contenu,Nom,7,16
4363,adherent,adherents,Nom,8,16
41,simplement,simplement,Adverbe,10,16
4617,generation,generations,Nom,10,16
14760,fonctionner,fonctionne,Verbe,11,16
2060,peux,peux,Adjectif,4,15
599,force,forces,Nom,5,15
640,salle,salles,Nom,5,15
2962,cible,cibles,Nom,5,15
5697,effet,effet,Nom,5,15
1852,papier,papier,Nom,6,15
4058,porter,porter,Verbe,6,15
4310,valeur,valeurs,Nom,6,15
6585,ancien,ancien,Adjectif,6,15
1393,tracter,tracter,Verbe,7,15
1866,digital,digital,Nom,7,15
1997,rentrer,rentre,Verbe,7,15
2803,changer,changer,Verbe,7,15
1062,ensemble,ensemble,Nom,8,15
5640,resultat,resultat,Nom,8,15
402,continuer,continuer,Verbe,9,15
829,responsable,responsables,Adjectif,11,15
4076,correspondre,correspondait,Verbe,12,15
1536,circonscription,circonscription,Nom,15,15
21,chef,chefs,Nom,4,14
1401,pose,pose,Verbe,4,14
2301,creer,creer,Verbe,5,14
3918,photo,photos,Nom,5,14
4624,aupre,aupres,Adjectif,5,14
11698,sinon,sinon,Adverbe,5,14
388,limite,limite,Nom,6,14
1333,rester,restent,Verbe,6,14
1999,mandat,mandat,Nom,6,14
6345,budget,budgets,Nom,6,14
1054,service,service,Nom,7,14
134,imaginer,imagine,Verbe,8,14
142,rappeler,rappelle,Verbe,8,14
2327,objectif,objectif,Nom,8,14
1084,rencontrer,rencontrer,Verbe,10,14
4712,mobilisation,mobilisation,Nom,12,14
6921,completement,completement,Adverbe,12,14
1676,regulierement,regulierement,Adverbe,13,14
4930,peur,peur,Nom,4,13
14584,gars,gars,Nom,4,13
249,ligne,ligne,Nom,5,13
3549,suite,suite,Nom,5,13
5314,carte,carte,Nom,5,13
320,presse,presse,Nom,6,13
1672,reseal,reseaux,Adjectif,6,13
1968,lettre,lettres,Adjectif,6,13
2239,croiser,croise,Verbe,7,13
6091,volonte,volonte,Nom,7,13
11076,realite,realite,Verbe,7,13
975,tendance,tendance,Nom,8,13
1889,troisiem,troisieme,Adjectif,8,13
4572,annoncer,annonce,Verbe,8,13
600,territoir,territoire,Adjectif,9,13
1657,evenement,evenement,Nom,9,13
4389,confiance,confiance,Nom,9,13
638,logistique,logistiques,Adjectif,10,13
1592,convaincre,convaincre,Verbe,10,13
2489,calendrier,calendrier,Nom,10,13
3311,enormement,enormement,Adverbe,10,13
19402,contrainte,contraintes,Nom,10,13
20,association,associations,Nom,11,13
4750,representer,representent,Verbe,11,13
